Accident_ID,Year,Month,Month_Name,Accident_Date,Province,District,City / Place,Latitude,Longitude,Road_Type,Vehicle_Type,Accident_Cause,Time_of_Day,Weather_Condition,Number_of_Vehicles_Involved,Injuries,Fatalities,Total_People_Killed,Emergency_Response_Time_Minutes,Victim_Gender,Victim_Age_Group,Road_User_Type
ACC-00047,2021,1,January,2021-01-01,Madhesh,Dhanusha,Janakpur,26.741281,85.901595,Rural Road,Motorcycle,Drunk Driving,Night,Rainy,1,6,0,0,54,Male,Adult (25-44),Motorcyclist
ACC-00123,2021,1,January,2021-01-01,Sudurpashchim,Kailali,Tikapur,28.536148,81.114083,Highway,Truck,Flood,Night,Rainy,4,2,0,0,25,Male,Young Adult (15-24),Driver
ACC-00152,2021,1,January,2021-01-01,Madhesh,Dhanusha,Lakshminiya,26.682029,85.990802,Urban Road,Tempo,Drunk Driving,Morning,Rainy,2,0,0,0,37,Male,Child (0-14),Driver
ACC-00183,2021,1,January,2021-01-01,Lumbini,Rupandehi,Marchawari,27.561145,83.367298,Highway,Motorcycle,Weather,Morning,Rainy,1,8,1,1,33,Female,Adult (25-44),Motorcyclist
ACC-00205,2021,1,January,2021-01-01,Karnali,Surkhet,Jabre,28.585167,81.645046,Hill Road,Motorcycle,Landslide,Night,Rainy,2,0,0,0,25,Male,Young Adult (15-24),Motorcyclist
ACC-00239,2021,1,January,2021-01-01,Karnali,Surkhet,Panchapuri,28.605742,81.718644,Rural Road,Truck,Overspeeding,Evening,Foggy,2,0,0,0,58,Male,Adult (25-44),Passenger
ACC-00491,2021,1,January,2021-01-01,Koshi,Morang,Budhiganga,26.459219,87.272566,Urban Road,Motorcycle,Landslide,Afternoon,Rainy,2,6,0,0,56,Male,Adult (25-44),Motorcyclist
ACC-00156,2021,2,February,2021-02-01,Madhesh,Dhanusha,Aurahi,26.803253,85.88853,Rural Road,Motorcycle,Human Error,Morning,Clear,2,6,2,2,19,Male,Senior (65+),Motorcyclist
ACC-00245,2021,2,February,2021-02-01,Karnali,Surkhet,Barahatal,28.60407,81.550765,Hill Road,Motorcycle,Drunk Driving,Morning,Foggy,1,5,0,0,34,Male,Child (0-14),Motorcyclist
ACC-00265,2021,2,February,2021-02-01,Madhesh,Dhanusha,Lakshminiya,26.729421,85.998868,Rural Road,Motorcycle,Landslide,Afternoon,Rainy,1,5,2,2,42,Female,Middle Aged (45-64),Motorcyclist
ACC-00298,2021,2,February,2021-02-01,Madhesh,Dhanusha,Bateshwor,26.78018,85.871362,Hill Road,Motorcycle,Landslide,Night,Rainy,1,6,0,0,72,Male,Senior (65+),Motorcyclist
