Accident_ID,Accident_Date,Year,Month,Province,District,Road_Type,Intersection_Type,Time_of_Day,Accident_Severity,Weather_Condition,Road_Surface,Vehicle_Type,Speed_Zone,Driver_Gender
1179,2026-01-09,2026,January,Sudurpashchim,Kailali,Highway,Junction,Afternoon,Damage Only,Clear,Slippery,Scooter,50,Male
866,2025-03-07,2025,March,Bagmati,Chitwan,Feeder,Curve,Evening,Serious Injury,Clear,Dry,Car,50,Female
102,2023-03-23,2023,March,Lumbini,Kapilvastu,Urban,Straight,Morning,Damage Only,Clear,Dry,Truck,30,Male
440,2024-02-16,2024,February,Madhesh,Rautahat,Urban,Curve,Night,Minor Injury,Clear,Slippery,Motorbike,80,Male
59,2023-02-10,2023,February,Sudurpashchim,Achham,Urban,Straight,Night,Serious Injury,Clear,Wet,Scooter,50,Male
1121,2025-11-15,2025,November,Sudurpashchim,Achham,Highway,Straight,Evening,Damage Only,Clear,Wet,Bus,50,Female
324,2023-10-17,2023,October,Sudurpashchim,Achham,Highway,Straight,Morning,Minor Injury,Clear,Damaged,Motorbike,50,Male
975,2025-06-24,2025,June,Koshi,Ilam,Rural,Junction,Evening,Fatal,Clear,Slippery,Motorbike,30,Female
412,2024-01-20,2024,January,Koshi,Jhapa,Highway,Straight,Morning,Minor Injury,Clear,Damaged,Truck,30,Male
856,2025-02-25,2025,February,Karnali,Dailekh,Urban,Straight,Evening,Serious Injury,Rain,Wet,Microbus,50,Male
821,2025-01-24,2025,January,Madhesh,Sarlahi,Highway,Straight,Morning,Minor Injury,Clear,Wet,Truck,30,Male
45,2023-02-01,2023,February,Madhesh,Bara,Feeder,Straight,Night,Serious Injury,Rain,Wet,Car,30,Male
50,2023-02-05,2023,February,Lumbini,Dang,Rural,Straight,Morning,Minor Injury,Clear,Dry,Microbus,50,Female
850,2025-02-20,2025,February,Koshi,Morang,Feeder,Straight,Night,Minor Injury,Clear,Wet,Motorbike,80,Female
241,2023-08-12,2023,August,Karnali,Jumla,Highway,Curve,Night,Minor Injury,Fog,Damaged,Scooter,30,Male
171,2023-05-26,2023,May,Madhesh,Sarlahi,Highway,Curve,Morning,Minor Injury,Clear,Wet,Motorbike,30,Male
524,2024-04-29,2024,April,Sudurpashchim,Kanchanpur,Feeder,Curve,Night,Damage Only,Clear,Damaged,Motorbike,50,Female
766,2024-12-09,2024,December,Karnali,Kalikot,Highway,Junction,Night,Serious Injury,Clear,Dry,Microbus,30,Male
839,2025-02-09,2025,February,Sudurpashchim,Kanchanpur,Rural,Straight,Morning,Minor Injury,Clear,Wet,Truck,50,Male
424,2024-01-31,2024,January,Gandaki,Lamjung,Highway,Curve,Night,Fatal,Clear,Dry,Scooter,50,Male
381,2023-12-10,2023,December,Madhesh,Parsa,Rural,Straight,Evening,Minor Injury,Fog,Wet,Scooter,30,Male
610,2024-07-24,2024,July,Madhesh,Parsa,Highway,Curve,Evening,Fatal,Dusty,Wet,Scooter,80,Male
677,2024-09-27,2024,September,Sudurpashchim,Kanchanpur,Rural,Straight,Morning,Serious Injury,Clear,Wet,Bus,50,Male
345,2023-11-05,2023,November,Karnali,Jumla,Rural,Straight,Night,Damage Only,Fog,Slippery,Microbus,50,Male
110,2023-03-28,2023,March,Sudurpashchim,Achham,Urban,Straight,Night,Damage Only,Clear,Wet,Truck,50,Male
278,2023-09-10,2023,September,Karnali,Dailekh,Highway,Straight,Afternoon,Minor Injury,Clear,Dry,Motorbike,50,Male
678,2024-09-27,2024,September,Bagmati,Kathmandu,Feeder,Curve,Afternoon,Minor Injury,Rain,Wet,Motorbike,30,Other
571,2024-06-16,2024,June,Sudurpashchim,Kanchanpur,Feeder,Straight,Morning,Minor Injury,Clear,Dry,Motorbike,50,Female
359,2023-11-22,2023,November,Bagmati,Bhaktapur,Feeder,Straight,Evening,Serious Injury,Rain,Wet,Car,30,Male
599,2024-07-18,2024,July,Lumbini,Dang,Rural,Straight,Evening,Serious Injury,Clear,Slippery,Truck,80,Female
391,2023-12-21,2023,December,Lumbini,Dang,Urban,Straight,Afternoon,Minor Injury,Clear,Dry,Car,30,Male
894,2025-04-04,2025,April,Koshi,Morang,Highway,Straight,Afternoon,Minor Injury,Clear,Slippery,Truck,50,Male
